OBJECTID,Tree_Name,Area,Diameter,Height,Tree_ID,Date_Planted,Lat,Long
1,Crabapple,Prescott,0,0,"6,299",,42.373733197570552,-71.114639057746416
2,Flowering Dogwood,Prescott,0,0,"6,300",,42.373261696260769,-71.114642908049532
3,Flowering Dogwood,Prescott,0,0,"6,301",,42.373330370292535,-71.114583075814622
4,Red Oak,Prescott,4,15,"6,324",6/1/2013 0:00:00,42.374469306585972,-71.113942927221345
5,Norway Maple,Prescott,0,0,"6,325",,42.372212090676889,-71.114360183595153
6,,Prescott,0,0,"6,326",,42.372319820286137,-71.114807211437025
7,Norway Maple,Prescott,0,0,"6,327",,42.372316685664018,-71.114776345171506
8,Northern Red Oak,Prescott,14,45,"6,338",,42.373597542648007,-71.114672912082526
9,Red Maple,Prescott,12,35,"6,339",,42.373500059116751,-71.114604978524866
10,Honeylocust,Prescott,14,35,"6,340",,42.373475360551453,-71.114711628275018
11,,Prescott,0,0,"6,341",,42.373132991133751,-71.114834444998607
12,White Ash,Prescott,0,0,"6,342",,42.373155006311769,-71.114826801355392
13,,Prescott,0,0,"6,343",,42.372971276199856,-71.114566086538659
14,White Ash,Prescott,0,0,"6,344",,42.373017626502055,-71.114526334287575
15,Honeylocust,Prescott,0,0,"6,345",,42.372855369157961,-71.114690009986958
16,,Prescott,0,0,"6,346",,42.373408657419745,-71.114245245841332
17,Yellow-Poplar Or Tuliptree,Prescott,0,0,"6,347",,42.373403951742858,-71.114280718400536
18,,Prescott,0,0,"6,350",,42.373398498676735,-71.114125548806882
19,,Prescott,0,0,"6,351",,42.373404653929335,-71.114215738163495
20,Crabapple,Prescott,0,0,"6,352",,42.373396141211494,-71.114161895811364
21,American Sweetgum,Prescott,0,0,"6,359",,42.372805740355311,-71.114914053816264
22,American Sweetgum,Prescott,0,0,"6,360",,42.372745276725986,-71.114933268008357
23,American Sweetgum,Prescott,0,0,"6,361",,42.372689611382754,-71.114945690137787
24,American Sweetgum,Prescott,0,0,"6,362",,42.372625314451390,-71.114956332644525
25,American Sweetgum,Prescott,0,0,"6,363",,42.372629334052888,-71.114945792433147
26,American Sweetgum,Prescott,0,0,"6,364",,42.372579701805343,-71.114968790662886
27,American Sweetgum,Prescott,0,0,"6,365",,42.372593854736856,-71.114951712504023
